clip_id,AU01_r_mean,AU01_r_std,AU01_r_q95,AU02_r_mean,AU02_r_std,AU02_r_q95,AU04_r_mean,AU04_r_std,AU04_r_q95,AU05_r_mean,AU05_r_std,AU05_r_q95,AU06_r_mean,AU06_r_std,AU06_r_q95,AU07_r_mean,AU07_r_std,AU07_r_q95,AU09_r_mean,AU09_r_std,AU09_r_q95,AU12_r_mean,AU12_r_std,AU12_r_q95,label,source_id
Pol2_S93,0.42916666666666664,0.7114600439547843,1.9862499999999994,0.31851851851851853,0.6487413273055748,1.5925925925925926,0.327859649122807,0.523705313722586,1.229473684210526,0.47377777777777774,1.1776993571263321,3.8866666666666663,-0.29355932203389834,0.3677066709254415,0.4864406779661015,-0.4813968253968253,0.40992854601919687,0.23952380952380944,0.24,0.35738589745119775,1.0,-0.1363295880149813,0.25287702518266564,0.30337078651685334,0,Pol2
Pol9_S101,0.14753577106518284,0.21972326439180515,0.661176470588235,0.5216216216216215,1.1594742906294346,3.3899999999999957,-0.10735735735735737,0.24220306072291792,0.33749999999999913,0.4434638720353006,0.9099468923809699,2.6122448979591804,1.425127830533236,0.5566171086653577,2.027027027027027,0.8873313811146847,0.5565317101735802,1.430905861456483,0.13047530288909598,0.24827787556856148,0.4827586206896537,1.4416988416988419,0.5576552220625504,2.148571428571428,1,Pol9
Pol9_S104,0.3913235294117647,0.5364728071752173,1.4705882352941178,0.5065625,1.0286634467284335,3.154999999999998,0.35429687499999996,0.40545379614425,0.9107638888888884,0.22193877551020408,0.4556783732732714,1.3877551020408165,0.09256756756756754,0.4030135116454462,1.054054054054054,0.06829484902309055,0.4585004266731106,0.8667850799289519,0.32133620689655173,0.5721047559091429,1.4827586206896552,0.06000000000000002,0.42772242950760614,1.0864285714285713,1,Pol9
Pol9_S15,0.15943468296409474,0.24078574968028796,0.7217647058823529,0.31525974025974024,0.6727741786756851,1.3674999999999997,0.3797799422799422,0.5082856852272667,1.0791666666666664,0.5804399681950703,1.4121485690781252,3.70204081632653,0.13434538434538432,0.48389424234071005,1.1216216216216215,-0.1518304076030542,0.4437664367914928,0.7282415630550617,0.44603672189879084,0.805704592861968,2.3931034482758613,0.022263450834879427,0.3082996131934488,0.6007142857142855,0,Pol9
Pol9_S17,0.4022465267514041,0.5961973001133081,1.6352941176470588,0.40703517587939697,0.8622268290983609,2.214999999999999,-0.1004676158570631,0.6267025261963665,0.7999999999999997,0.33924725669162137,0.8546000084753671,1.6326530612244898,0.7631400244465572,0.9083331825451517,2.1621621621621623,0.18293956460812047,0.5108674157032144,1.1523978685612786,0.275168948189222,0.5188985388943492,1.620689655172414,0.868557071069634,0.8364912089003127,2.574285714285714,0,Pol9
Pol9_S4,0.3812427506213753,0.58873876384671,1.5400000000000005,0.35295774647887324,0.6920031399258415,2.0,-0.28421361502347414,0.34990413094892175,0.2013888888888889,0.8142569703937913,1.9898573663880146,6.710204081632657,0.3035782261134374,0.5306033783943177,1.2472972972972973,-0.10120831561303884,0.388452098385876,0.627353463587922,0.3243322000971346,0.6189164139585261,1.8034482758620696,0.04623742454728373,0.340816603963172,0.6842857142857149,1,Pol9
Pol9_S42,0.07678018575851393,0.10933213650608083,0.2823529411764706,0.1539473684210526,0.2829338522033327,0.7024999999999996,-0.2627923976608187,0.2755566525225824,0.05659722222222226,0.27497314715359833,0.6600347621406323,1.5632653061224488,-0.22546230440967285,0.014771692580167244,-0.17567567567567569,-0.32008974478825847,0.10731753797044209,-0.09236234458259325,0.1397459165154265,0.3251562762820291,0.9034482758620687,-0.256390977443609,0.06159735888252264,-0.12214285714285722,0,Pol9
Pol9_S52,0.1517188693659282,0.2228160722659871,0.6258823529411767,0.40454545454545454,0.7091127619010317,2.0500000000000007,0.07927489177489175,0.35821656535030083,0.6069444444444445,0.3784786641929499,0.8700787550499773,2.46530612244898,0.14987714987714984,0.4088825622646039,0.9864864864864865,0.008857927152776135,0.4560577472018856,0.9193605683836592,0.3430362740707569,0.5565211183552886,1.5655172413793108,-0.2079777365491651,0.16488927226449138,0.24285714285714288,1,Pol9
Pol9_S53,0.2763071895424837,0.4491035655562894,1.184705882352942,0.42291666666666666,0.9505349679796702,2.7350000000000008,-0.06838348765432099,0.4400837826051147,0.8972222222222225,0.42517006802721086,0.8940244084317878,2.632653061224491,0.1383258258258258,0.32898169919105774,0.7087837837837837,0.20692717584369447,0.3516632557085164,0.7097690941385435,0.6513409961685824,1.1808336284159064,3.1534482758620697,0.015674603174603192,0.2567755001953242,0.5714285714285715,1,Pol9
Pol9_S55,0.10246679316888047,0.23336846428668476,0.5588235294117647,0.5032258064516129,1.1272337441624494,3.3249999999999997,-0.09610215053763442,0.22970683234613798,0.15972222222222218,0.1316655694535879,0.1995996763813374,0.5714285714285715,0.2428073234524847,0.29615842203850246,0.6824324324324325,0.651807712141179,0.16052193108677892,0.8063943161634104,0.6017797552836485,1.0556019976589412,2.53448275862069,0.16451612903225807,0.26232531519029234,0.4214285714285715,0,Pol9
Pol9_S65,0.48077706833310696,0.6397257856185234,1.6329411764705877,0.41397228637413397,1.006877929987962,2.4199999999999986,0.1268604054400821,0.44028196182161916,0.888888888888888,0.859310929914691,2.5219536623276535,7.248979591836731,0.05680044941014916,0.32231880359085985,0.7297297297297296,0.05519753547270271,0.3596920043655685,0.7033747779751331,0.34665923389344594,0.6517263726906306,1.9931034482758605,0.05130320026393932,0.3632133860935246,0.8114285714285709,1,Pol9
Pol9_S69,0.42810993249758916,0.6022981378516098,1.8099999999999998,0.5713114754098361,1.2732838532301347,3.7224999999999953,-0.08697632058287795,0.45088648407556614,0.6142361111111104,0.8133154901304784,1.953960367541628,6.4367346938775505,0.09764067346034556,0.3286432055451742,0.7952702702702702,0.3253064671112017,0.3333301334202973,0.7957371225577266,0.37620124364047486,0.7403267099172919,2.058620689655172,0.20608899297423894,0.5243845425927848,1.2242857142857144,1,Pol9
Pol9_S71,0.482404997397189,0.6630494697639315,1.7029411764705882,0.5084070796460176,0.9503660734420478,2.7,-0.2780850540806293,0.507797050128406,0.689236111111111,1.2187104930467763,2.81284673651435,7.979591836734694,0.44779956948098537,0.544794632214151,1.3513513513513513,0.344582593250444,0.44581459425108544,0.9040852575488454,0.42935611840097654,0.7859647560231329,2.267241379310345,0.43925410872313536,0.6185482409919946,1.3392857142857144,1,Pol9
