clip_id,AU01_r_mean,AU01_r_std,AU01_r_q95,AU02_r_mean,AU02_r_std,AU02_r_q95,AU04_r_mean,AU04_r_std,AU04_r_q95,AU05_r_mean,AU05_r_std,AU05_r_q95,AU06_r_mean,AU06_r_std,AU06_r_q95,AU07_r_mean,AU07_r_std,AU07_r_q95,AU09_r_mean,AU09_r_std,AU09_r_q95,AU12_r_mean,AU12_r_std,AU12_r_q95,label,source_id
Med15_S57,0.26006329113924054,0.4146789055339467,1.2420000000000004,0.19499999999999998,0.41975235343778644,1.2560000000000002,0.8374050632911393,0.8336697939379345,2.9360000000000004,0.11424050632911392,0.2784861128255492,0.9,0.5067088607594937,0.3856724511017364,1.2160000000000002,1.0102531645569621,0.5921051178053801,1.9815,0.07126582278481013,0.13769593649192693,0.38600000000000023,0.9775949367088608,0.6140078532037321,1.7415,0,Med15
Med15_S68,0.26529411764705885,0.39643827429012046,1.174,0.15458823529411767,0.32817878744155704,1.0279999999999996,1.1007058823529412,0.8541004572276113,2.482,0.07388235294117647,0.21932848878884326,0.5619999999999994,0.02364705882352941,0.05899651036539463,0.18199999999999988,0.3567058823529412,0.4304521107020421,1.2,0.09376470588235294,0.18710180874255036,0.52,0.14858823529411766,0.20388578117344497,0.518,1,Med15
Med15_S69,0.4762264150943396,0.6771951295498763,1.8175000000000001,0.15660377358490568,0.3333406288509808,0.9575,0.8869811320754717,0.6591367656496543,1.7575,0.11641509433962265,0.23611614849373352,0.6475,0.006415094339622642,0.05206568524003906,0.0,0.305,0.3651907525037918,1.0125,0.037452830188679245,0.07755871902420546,0.18,0.11443396226415095,0.16049376305151758,0.42,1,Med15
Med15_S70,0.06661290322580644,0.07779636192739364,0.22899999999999993,0.04080645161290322,0.08059814070785501,0.1974999999999998,1.212258064516129,0.622534268869999,2.061999999999999,0.02370967741935484,0.041140856441580005,0.11849999999999987,0.00870967741935484,0.03610021892525879,0.04749999999999979,0.16306451612903225,0.3274470985164034,0.7634999999999995,0.0914516129032258,0.17724528502312745,0.5295,0.03096774193548387,0.08521351538725312,0.2684999999999999,0,Med15
Med15_S71,0.2797674418604651,0.43598698508417744,1.2475,0.12325581395348836,0.25194510074484416,0.745,0.5819767441860465,0.4006753703361124,1.1925,0.14406976744186048,0.33246805386374384,1.0350000000000001,0.006162790697674419,0.02990843298946117,0.0,0.1747674418604651,0.30239719398085785,0.85,0.0505813953488372,0.08638293201734039,0.23,0.11906976744186047,0.1306421056976722,0.3675,0,Med15
Med15_S72,0.6235897435897435,0.8310903323848462,1.9939999999999998,0.13623931623931623,0.29925691446431263,1.0039999999999998,1.1855555555555557,0.8475720338062256,2.4019999999999997,0.05512820512820513,0.10942337410745934,0.3119999999999993,0.0038461538461538464,0.013251294916955375,0.03399999999999977,0.02871794871794872,0.0672814272361131,0.19,0.03632478632478633,0.05862796629652114,0.16,0.16213675213675213,0.12121389657891211,0.35199999999999987,0,Med15
Med15_S73,0.2923219814241486,0.41686331865586634,1.2579999999999996,0.13758513931888544,0.29905709175055584,0.8889999999999998,1.089969040247678,0.814624288833675,2.38,0.07479876160990712,0.16627693280655256,0.4759999999999991,0.03470588235294118,0.08966201302779955,0.25,0.15705882352941178,0.2368865459655342,0.6189999999999998,0.1056346749226006,0.19620265296356365,0.56,0.09021671826625387,0.12410530528698965,0.40899999999999975,0,Med15
Med15_S81,0.42959044368600685,0.6554339534275169,1.829999999999999,0.07822525597269625,0.15191333521039518,0.4339999999999998,0.8243344709897611,0.7532936701575703,2.13,0.09416382252559727,0.2202622979985109,0.5779999999999995,0.01590443686006826,0.04075844833140538,0.11,0.18733788395904438,0.28524036697196553,0.7719999999999994,0.1115358361774744,0.2077687142199966,0.5839999999999997,0.25993174061433444,0.2291437204894957,0.6479999999999996,0,Med15
Med15_S82,0.30640186915887846,0.44100466521146214,1.1634999999999998,0.1611214953271028,0.3391686248189878,0.97,0.7994859813084112,0.7631742565180925,2.0435,0.08107476635514019,0.20419833868055398,0.4939999999999998,0.02149532710280374,0.0688101932933356,0.16,0.08144859813084113,0.12790201161627723,0.38349999999999995,0.16406542056074766,0.3637517280284989,1.0149999999999995,0.20537383177570095,0.20449548697865738,0.5934999999999999,1,Med15
Med15_S98,0.3996958174904943,0.544330696632809,1.495,0.18009505703422055,0.386386175556573,1.16,1.333593155893536,0.8792666954807509,2.75,0.09332699619771864,0.21981237781627697,0.665,0.04844106463878327,0.1452939331018255,0.315,0.35511406844106463,0.46863965882194547,1.3575000000000002,0.10659695817490494,0.20322358578497005,0.615,0.09931558935361218,0.1682365319716336,0.495,1,Med15
Med15_S99,0.09857142857142857,0.14177737540180443,0.40999999999999986,0.05504761904761905,0.10854034883861081,0.3559999999999999,1.9815238095238095,0.3960351114785273,2.678,0.014095238095238095,0.024833880319467032,0.07,0.06619047619047619,0.09946376371845324,0.25799999999999995,0.24476190476190476,0.4138029427854223,1.3319999999999996,0.03514285714285715,0.06246713421586472,0.17,0.12523809523809523,0.09813741580535112,0.3,0,Med15
